  9.99999E-01 -3.99139E+02 -9.14120E+01  1.01636E+02  1.66899E+01 -1.82087E-01 -1.56807E-02
  1.01000E+00 -3.98122E+02 -9.12448E+01  1.01651E+02  1.68308E+01 -1.83073E-01 -1.54318E-02
  1.02000E+00 -3.97106E+02 -9.10761E+01  1.01667E+02  1.69711E+01 -1.84051E-01 -1.51827E-02
  1.03000E+00 -3.96089E+02 -9.09060E+01  1.01683E+02  1.71107E+01 -1.85022E-01 -1.49332E-02
  1.04000E+00 -3.95072E+02 -9.07346E+01  1.01699E+02  1.72497E+01 -1.85986E-01 -1.46835E-02
  1.05000E+00 -3.94055E+02 -9.05617E+01  1.01715E+02  1.73881E+01 -1.86942E-01 -1.44335E-02
  1.06000E+00 -3.93038E+02 -9.03875E+01  1.01731E+02  1.75258E+01 -1.87892E-01 -1.41831E-02
  1.07000E+00 -3.92021E+02 -9.02119E+01  1.01747E+02  1.76630E+01 -1.88834E-01 -1.39325E-02
  1.08000E+00 -3.91003E+02 -9.00349E+01  1.01763E+02  1.77994E+01 -1.89768E-01 -1.36816E-02
  1.09000E+00 -3.89986E+02 -8.98566E+01  1.01779E+02  1.79353E+01 -1.90696E-01 -1.34303E-02
  1.10000E+00 -3.88968E+02 -8.96769E+01  1.01796E+02  1.80705E+01 -1.91616E-01 -1.31788E-02
  1.11000E+00 -3.87950E+02 -8.94959E+01  1.01812E+02  1.82051E+01 -1.92529E-01 -1.29269E-02
  1.12000E+00 -3.86932E+02 -8.93135E+01  1.01829E+02  1.83390E+01 -1.93434E-01 -1.26748E-02
  1.13000E+00 -3.85913E+02 -8.91298E+01  1.01845E+02  1.84723E+01 -1.94332E-01 -1.24223E-02
  1.14000E+00 -3.84895E+02 -8.89447E+01  1.01862E+02  1.86050E+01 -1.95223E-01 -1.21695E-02
  1.15000E+00 -3.83876E+02 -8.87583E+01  1.01879E+02  1.87370E+01 -1.96107E-01 -1.19164E-02
  1.16000E+00 -3.82857E+02 -8.85706E+01  1.01896E+02  1.88684E+01 -1.96983E-01 -1.16630E-02
  1.17000E+00 -3.81838E+02 -8.83816E+01  1.01913E+02  1.89992E+01 -1.97852E-01 -1.14093E-02
  1.18000E+00 -3.80819E+02 -8.81913E+01  1.01930E+02  1.91293E+01 -1.98713E-01 -1.11553E-02
  1.19000E+00 -3.79800E+02 -8.79997E+01  1.01947E+02  1.92587E+01 -1.99567E-01 -1.09010E-02
  1.20000E+00 -3.78780E+02 -8.78068E+01  1.01964E+02  1.93875E+01 -2.00414E-01 -1.06463E-02
  1.21000E+00 -3.77761E+02 -8.76126E+01  1.01982E+02  1.95157E+01 -2.01253E-01 -1.03913E-02
  1.22000E+00 -3.76741E+02 -8.74171E+01  1.01999E+02  1.96432E+01 -2.02085E-01 -1.01360E-02
  1.23000E+00 -3.75721E+02 -8.72203E+01  1.02017E+02  1.97701E+01 -2.02909E-01 -9.88041E-03
  1.24000E+00 -3.74700E+02 -8.70223E+01  1.02035E+02  1.98963E+01 -2.03726E-01 -9.62447E-03
  1.25000E+00 -3.73680E+02 -8.68230E+01  1.02053E+02  2.00218E+01 -2.04536E-01 -9.36822E-03
  1.26000E+00 -3.72659E+02 -8.66225E+01  1.02071E+02  2.01468E+01 -2.05338E-01 -9.11163E-03
  1.27000E+00 -3.71639E+02 -8.64207E+01  1.02089E+02  2.02710E+01 -2.06133E-01 -8.85472E-03
  1.28000E+00 -3.70618E+02 -8.62177E+01  1.02107E+02  2.03946E+01 -2.06920E-01 -8.59749E-03
  1.29000E+00 -3.69597E+02 -8.60135E+01  1.02126E+02  2.05176E+01 -2.07700E-01 -8.33992E-03
  1.30000E+00 -3.68575E+02 -8.58080E+01  1.02144E+02  2.06399E+01 -2.08473E-01 -8.08203E-03
  1.31000E+00 -3.67554E+02 -8.56013E+01  1.02163E+02  2.07615E+01 -2.09238E-01 -7.82380E-03
  1.32000E+00 -3.66532E+02 -8.53933E+01  1.02182E+02  2.08825E+01 -2.09995E-01 -7.56525E-03
  1.33000E+00 -3.65510E+02 -8.51842E+01  1.02200E+02  2.10028E+01 -2.10745E-01 -7.30636E-03
  1.34000E+00 -3.64488E+02 -8.49739E+01  1.02220E+02  2.11224E+01 -2.11488E-01 -7.04714E-03
  1.35000E+00 -3.63466E+02 -8.47624E+01  1.02239E+02  2.12414E+01 -2.12223E-01 -6.78758E-03
  1.36000E+00 -3.62444E+02 -8.45497E+01  1.02258E+02  2.13598E+01 -2.12950E-01 -6.52768E-03
  1.37000E+00 -3.61421E+02 -8.43358E+01  1.02278E+02  2.14774E+01 -2.13670E-01 -6.26745E-03
  1.38000E+00 -3.60398E+02 -8.41207E+01  1.02297E+02  2.15944E+01 -2.14382E-01 -6.00687E-03
  1.39000E+00 -3.59375E+02 -8.39045E+01  1.02317E+02  2.17107E+01 -2.15087E-01 -5.74596E-03
  1.40000E+00 -3.58352E+02 -8.36871E+01  1.02337E+02  2.18264E+01 -2.15785E-01 -5.48470E-03
  1.41000E+00 -3.57328E+02 -8.34685E+01  1.02357E+02  2.19414E+01 -2.16474E-01 -5.22309E-03
  1.42000E+00 -3.56305E+02 -8.32488E+01  1.02377E+02  2.20557E+01 -2.17156E-01 -4.96114E-03
  1.43000E+00 -3.55281E+02 -8.30280E+01  1.02397E+02  2.21694E+01 -2.17831E-01 -4.69883E-03
  1.44000E+00 -3.54257E+02 -8.28060E+01  1.02418E+02  2.22823E+01 -2.18498E-01 -4.43618E-03
  1.45000E+00 -3.53233E+02 -8.25829E+01  1.02439E+02  2.23946E+01 -2.19158E-01 -4.17318E-03
  1.46000E+00 -3.52208E+02 -8.23587E+01  1.02459E+02  2.25062E+01 -2.19809E-01 -3.90982E-03
