  0.00000E+00 -5.00000E+02 -1.00000E+02  1.00000E+02 -0.00000E+00  0.00000E+00 -3.84615E-02
  1.96000E+00 -3.05226E+02 -8.07312E+01  9.83244E+01  1.82292E+01 -1.83317E-01 -2.38141E-02
  1.97000E+00 -3.04243E+02 -8.05487E+01  9.83114E+01  1.82994E+01 -1.84031E-01 -2.37389E-02
  1.98000E+00 -3.03260E+02 -8.03656E+01  9.82984E+01  1.83694E+01 -1.84743E-01 -2.36637E-02
  1.99000E+00 -3.02277E+02 -8.01817E+01  9.82853E+01  1.84391E+01 -1.85452E-01 -2.35885E-02
  2.00000E+00 -3.01294E+02 -7.99971E+01  9.82722E+01  1.85086E+01 -1.86159E-01 -2.35132E-02
  2.01000E+00 -3.00312E+02 -7.98119E+01  9.82592E+01  1.85779E+01 -1.86864E-01 -2.34380E-02
  2.02000E+00 -2.99329E+02 -7.96259E+01  9.82461E+01  1.86469E+01 -1.87567E-01 -2.33628E-02
  2.03000E+00 -2.98347E+02 -7.94393E+01  9.82330E+01  1.87157E+01 -1.88267E-01 -2.32876E-02
  2.04000E+00 -2.97364E+02 -7.92520E+01  9.82199E+01  1.87843E+01 -1.88965E-01 -2.32123E-02
  2.05000E+00 -2.96382E+02 -7.90639E+01  9.82068E+01  1.88526E+01 -1.89661E-01 -2.31371E-02
  2.06000E+00 -2.95400E+02 -7.88752E+01  9.81937E+01  1.89207E+01 -1.90354E-01 -2.30618E-02
  2.07000E+00 -2.94418E+02 -7.86859E+01  9.81806E+01  1.89886E+01 -1.91046E-01 -2.29866E-02
  2.08000E+00 -2.93436E+02 -7.84958E+01  9.81675E+01  1.90562E+01 -1.91735E-01 -2.29113E-02
  2.09000E+00 -2.92455E+02 -7.83051E+01  9.81544E+01  1.91236E+01 -1.92422E-01 -2.28361E-02
  2.10000E+00 -2.91473E+02 -7.81137E+01  9.81413E+01  1.91908E+01 -1.93106E-01 -2.27609E-02
  2.11000E+00 -2.90492E+02 -7.79216E+01  9.81282E+01  1.92578E+01 -1.93788E-01 -2.26856E-02
  2.12000E+00 -2.89511E+02 -7.77289E+01  9.81151E+01  1.93245E+01 -1.94468E-01 -2.26103E-02
  2.13000E+00 -2.88530E+02 -7.75355E+01  9.81019E+01  1.93910E+01 -1.95146E-01 -2.25351E-02
  2.14000E+00 -2.87549E+02 -7.73414E+01  9.80888E+01  1.94572E+01 -1.95822E-01 -2.24598E-02
  2.15000E+00 -2.86568E+02 -7.71467E+01  9.80757E+01  1.95233E+01 -1.96495E-01 -2.23846E-02
  2.16000E+00 -2.85587E+02 -7.69513E+01  9.80626E+01  1.95891E+01 -1.97166E-01 -2.23093E-02
  2.17000E+00 -2.84606E+02 -7.67552E+01  9.80495E+01  1.96546E+01 -1.97834E-01 -2.22341E-02
  2.18000E+00 -2.83626E+02 -7.65585E+01  9.80363E+01  1.97200E+01 -1.98501E-01 -2.21588E-02
  2.19000E+00 -2.82646E+02 -7.63611E+01  9.80232E+01  1.97851E+01 -1.99165E-01 -2.20835E-02
  2.20000E+00 -2.81666E+02 -7.61631E+01  9.80101E+01  1.98500E+01 -1.99827E-01 -2.20082E-02
  2.21000E+00 -2.80685E+02 -7.59645E+01  9.79970E+01  1.99146E+01 -2.00487E-01 -2.19330E-02
  2.22000E+00 -2.79706E+02 -7.57652E+01  9.79839E+01  1.99790E+01 -2.01144E-01 -2.18577E-02
  2.23000E+00 -2.78726E+02 -7.55652E+01  9.79708E+01  2.00432E+01 -2.01799E-01 -2.17824E-02
  2.24000E+00 -2.77746E+02 -7.53646E+01  9.79576E+01  2.01072E+01 -2.02452E-01 -2.17072E-02
  2.25000E+00 -2.76767E+02 -7.51634E+01  9.79445E+01  2.01709E+01 -2.03103E-01 -2.16319E-02
